brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,milage
HYUNDAI,Elantra_GLS,2010,Gasoline,138.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,4-Speed A/T,Blue,Blue,At least 1 accident or damage reported,Yes,5625,172199.4
AUDI,SQ5_3.0T_Premium_Plus,2016,Gasoline,354.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22230,96560.4
MITSUBISHI,Lancer_Evolution_GSR,2012,Gasoline,291.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,5-Speed M/T,Black,Black,None reported,Yes,31499.1,53108.2
TESLA,Model_Y_Performance,2023,,455.0HP_Electric_Motor_Electric_Fuel_System,1-Speed A/T,Black,White,None reported,Yes,54000,804.7
MERCEDES-BENZ,Maybach_S_S_600,2016,Gasoline,523.0HP_6.0L_12_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,White,Beige,None reported,Yes,57150,174613.4
NISSAN,GT-R_Premium,2017,Gasoline,565.0HP_3.8L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Orange,Orange,None reported,Yes,134550,60833.1
MERCEDES-BENZ,GLS_550_Base_4MATIC,2018,Gasoline,4.7_Liter_Twin_Turbo,Automatic,Obsidian Black Metallic,Gray,None reported,,40318.2,119770.3
CHEVROLET,Blazer_Premier,2019,Gasoline,3.6L_V6_24V_GDI_DOHC,9-Speed Automatic,Silver Ice Metallic,Jet Black,None reported,,31105.8,89513.1
MAZDA,CX-9_Grand_Touring,2021,Gasoline,2.5L_I4_16V_GDI_DOHC_Turbo,6-Speed Automatic,Sonic Silver Metallic,Black,At least 1 accident or damage reported,Yes,29286.9,75167.4
FORD,Expedition_Max_Limited,2022,Gasoline,440.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,White,Beige,None reported,Yes,59310,42647.5
NISSAN,Titan_XD_SV,2020,Gasoline,5.6L_V8_32V_GDI_DOHC,9-Speed Automatic,Black,Black,None reported,Yes,42492.6,16095
LEXUS,LX_570_Three-Row,2019,Gasoline,383.0HP_5.7L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Beige,None reported,Yes,69210,30657.9
CHEVROLET,Traverse_Premier,2020,Gasoline,310.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,White,Black,None reported,Yes,32220,83685.7
MERCEDES-BENZ,Sprinter_High_Roof,2014,Diesel,188.0HP_3.0L_V6_Cylinder_Engine_Diesel_Fuel,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,49499.1,104607.1
